    Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"不是我不小心","張鎬哲","情歌精選","華語經典","Playlist","TWA118900101","1pzn7i3Lq6hl7uaxhuWj2v"
"拒絕再玩","Leslie Cheung","BTB-拒絕再玩(國)","華語經典","Playlist","HKG070440010","0z80LkJCG0rwmTWiPDvW6J"
"不為誰而作的歌","JJ Lin","""和自己對話"" 實驗專輯","華語經典","Playlist","TWA531576502","0VqSdtXseb9khdZrnYVyM1"
"當年情","Leslie Cheung","愛慕","華語經典","Playlist","HKE059929217","4FPg984neDrmZI9gdtO2MX"
"當年情 - 電影 ""英雄本色"" 主題曲","Leslie Cheung","哥哥的歌","華語經典","Playlist","HKE051600036","6fsFfNwxvbLDwkaSH9Bi11"
"甲乙丙丁","Jacky Cheung","不後悔","華語經典","Playlist","TWA119806040","5NZhSvJEp8TJBKsC8mG2Xn"
"俠客","施孝榮","施孝榮名歌精選集","華語經典","Playlist","TWA511302235","2QSfCUGh1mUhQJtTehEja9"
"牽引","鄧妙華","寶麗金50週年紀念精選","華語經典","Playlist","TWA750300501","0J2BaZGulMGfhyyDqJTB5q"
"張三的歌","李壽全","8又二分之一","華語經典","Playlist","TWA538602706","6Sy4ofpw7wM5t3jJVZC1Cv"
"我要的不多","馬兆駿","馬兆駿精選集(1)","華語經典","Playlist","TWA458714606","3DPJouyeYiBJlgo2ql9nkV"
"心太軟","Richie Jen","心太軟","華語經典","Playlist","TWA459653701","3nlN7Yt8JOLE9WJDh767fZ"
"傷心太平洋","Richie Jen","影視歌全集","華語經典","Playlist","TWA459859703","7Dm1nsZBBhBSoWA9VOdZsD"
"很难该说什么","范怡文","流浪者的独白","華語經典","Playlist","FRX202056751","4JMlUFsmEfFxL1onG06g2c"
"最浪漫的事","趙詠華","我的愛 我的夢 我的家","華語經典","Playlist","TWA459441301","5E5iiAjLdZ6aAoV6oXluQO"
"草蜢-忘情森巴舞","","","華語經典","Playlist","","8451ddf8bb8b718e09d8d4d73f1d2ab3"
